Event Num,Event Title,Article Set,Selected Article,Stakeholder,Giver,Receiver,Problematic Behavior,Aftermath,Platform,Link
15325,Special report: Internet privacy: Personal stories: 'An ordinary person is hardly able to take on Google',"(Special report: Internet privacy: The web has a long memory - so do we have the right to be 'forgotten'?: Historical data can wreck reputations, activists say Deleting such information is censorship, says Google, the guardian, 2013-04-05), (Comment: Take back your afterlife: The battle over who uses personal details online is worth fighting. We are more than our data, the guardian, 2013-04-06), (U.S. News: New Online-Data Bill Sets Up Privacy Fight --- Internet Firms Push Back on California Proposal Requiring They Disclose What Has Been Done With Users' Information, wall street journal, 2013-04-06)"," (U.S. News: New Online-Data Bill Sets Up Privacy Fight --- Internet Firms Push Back on California Proposal Requiring They Disclose What Has Been Done With Users' Information, wall street journal, 2013-04-06)",S->n-r,S,n-r,User Safety_Personal Information,Legal Action,Facebook,https://www.wsj.com/articles/SB10001424127887323916304578402912554668102
32344,"‘Disinformation can be a very lucrative business, especially if you’re good at it,’ media scholar says","('‘Disinformation can be a very lucrative business, especially if you’re good at it,’ media scholar says', 'the washington post', '2021-01-19')","‘Disinformation can be a very lucrative business, especially if you’re good at it,’ media scholar says",n-r->n-r,n-r,n-r,User Safety_Broken Harmony,Public protest,"Twitter, Facebook",https://www.washingtonpost.com/lifestyle/magazine/disinformation-can-be-a-very-lucrative-business-especially-if-youre-good-at-it-media-scholar-says/2021/01/19/4c842f06-4a04-11eb-a9d9-1e3ec4a928b9_story.html
37417,They become what they are not': Yuvraj Singh feels young cricketers are trying too hard on social media,"(''They become what they are not': Yuvraj Singh feels young cricketers are trying too hard on social media', 'the hindustan times', '2020-04-27')",‘They become what they are not’: Yuvraj Singh feels young cricketers are trying too hard on social media,S->n-i,S,n-i,User Safety_Safety Risk of Social Media Overuse,,"Twitter, Instagram, Facebook, TikTok",https://www.hindustantimes.com/cricket/they-become-what-they-are-not-yuvraj-singh-feels-young-cricketers-are-trying-too-hard-on-social-media/story-FwQvLIIWvoI6sTH2A13dxM.html
45222,13 Reasons Why' is affecting America's classrooms. Teachers tell us their stories,"(''13 Reasons Why' is affecting America's classrooms. Teachers tell us their stories', 'los angeles times', '2017-05-10')","(''13 Reasons Why' is affecting America's classrooms. Teachers tell us their stories', 'los angeles times', '2017-05-10')",1-i->n-r,1-i,n-r,User Safety_Suicide&Self-harm,Death,Online,https://www.latimes.com/entertainment/tv/la-et-st-13-reasons-why-schools-teachers-20170510-htmlstory.html
46737,Aunty National' Irani takes on trolls with open letter on Facebook,"(''Aunty National' Irani takes on trolls with open letter on Facebook', 'the hindustan times', '2016-06-17')","(''Aunty National' Irani takes on trolls with open letter on Facebook', 'the hindustan times', '2016-06-17')",n-r->1-i,n-r,n-r,User Safety_Broken Harmony,Public Message from Social Media,Twitter,https://www.pressreader.com/india/hindustan-times-amritsar/20160617/281517930407569?srsltid=AfmBOooY2kTAOgY5wKI0xjwyD4cWldgOC3jOmv-SGeJ3cCBkFW-YaOpn
35056,‘But I Saw It on Facebook’: Hoaxes Are Making Doctors’ Jobs Harder,"('‘But I Saw It on Facebook’: Hoaxes Are Making Doctors’ Jobs Harder', 'the new york times', '2020-09-02')","('‘But I Saw It on Facebook’: Hoaxes Are Making Doctors’ Jobs Harder', 'the new york times', '2020-09-02')",S->n-r,S,n-r,User Safety_Dangerous Misinformation & Endangerment,Misinformation led to action,Facebook,https://www.nytimes.com/2020/08/28/opinion/sunday/coronavirus-misinformation-faceboook.html
18448,"Forced' to fly extra hours, Air India cabin crew start online drive","(''Forced' to fly extra hours, Air India cabin crew start online drive', 'the times of india', '2012-08-20')","(''Forced' to fly extra hours, Air India cabin crew start online drive', 'the times of india', '2012-08-20')",n-r->1-i,n-r,1-i,User Safety_Broken Harmony,,Facebook,https://timesofindia.indiatimes.com/city/mumbai/forced-to-fly-extra-hours-air-india-cabin-crew-start-online-drive/articleshow/15563120.cms
28683,"Hits two targets with one arrow': Irfan's explosive 'mushkil kaam aap karo, aasan main kar lunga' dig divides internet","(''Hits two targets with one arrow': Irfan's explosive 'mushkil kaam aap karo, aasan main kar lunga' dig divides internet', 'the hindustan times', '2023-08-09')","(''Hits two targets with one arrow': Irfan's explosive 'mushkil kaam aap karo, aasan main kar lunga' dig divides internet', 'the hindustan times', '2023-08-09')",1-i->1-i,1-i,1-i,User Safety_Broken Harmony,Public Backlash,Twitter,https://www.hindustantimes.com/cricket/hits-two-targets-with-one-arrow-irfans-explosive-mushkil-kaam-aap-karo-aasan-main-kar-lunga-dig-divides-internet-101691565506887.html
10615,"‘I’m not afraid any more’: Christie Whelan Browne on Show People, Twitter trolls and her ‘horrible’ four years","('‘I’m not afraid any more’: Christie Whelan Browne on Show People, Twitter trolls and her ‘horrible’ four years', 'the guardian', '2023-01-04')","('‘I’m not afraid any more’: Christie Whelan Browne on Show People, Twitter trolls and her ‘horrible’ four years', 'the guardian', '2023-01-04')",n-r->1-i,n-r,1-i,User Safety_Harassment&Bullying,,Twitter,https://www.theguardian.com/global/2022/dec/31/im-not-afraid-any-more-christie-whelan-browne-on-show-people-twitter-trolls-and-her-horrible-four-years
19428,"Like' Button, Widgets Track Users' Web Visits","(''Like' Button, Widgets Track Users' Web Visits', 'wall street journal', '2011-05-20')","(''Like' Button, Widgets Track Users' Web Visits', 'wall street journal', '2011-05-20')",S->n-r,S,n-r,User Safety_Personal Information,,"Facebook, Twitter",https://www.wsj.com/articles/SB10001424052748704281504576329441432995616
3021,Necesitas hablar inglés': Los videos y las redes sociales muestran la polarización que el español está provocando en Estados Unidos,"(''Necesitas hablar inglés': Los videos y las redes sociales muestran la polarización que el español está provocando en Estados Unidos', 'los angeles times', '2018-05-28')","(''Necesitas hablar inglés': Los videos y las redes sociales muestran la polarización que el español está provocando en Estados Unidos', 'los angeles times', '2018-05-28')",1-r->n-r,1-r,n-r,User Safety_Broken Harmony,Public Apology,Social Media,https://www.latimes.com/espanol/eeuu/la-es-necesitas-hablar-ingles-los-videos-y-las-redes-sociales-muestran-la-polarizacion-que-el-espanol-esta-20180528-story.html
2402,Social media is fuelling a mental crisis in children. It is a tragedy for our time',"(''Social media is fuelling a mental crisis in children. It is a tragedy for our time'', 'the daily telegraph', '2018-08-13')","(''Social media is fuelling a mental crisis in children. It is a tragedy for our time'', 'the daily telegraph', '2018-08-13')",S->n-r,S,n-r,User Safety_Safety Risk of Social Media Overuse,,Social Media,https://www.telegraph.co.uk/news/2018/08/12/impact-social-media-childrens-mental-health-real-tragedy-time/
7256,"Techlash': Whipping Up Criticism of the Top Tech Companies; The increasingly sharp rebukes of Facebook, Google and others now have a term of their own","(''Techlash': Whipping Up Criticism of the Top Tech Companies; The increasingly sharp rebukes of Facebook, Google and others now have a term of their own', 'wall street journal', '2019-01-10')","(''Techlash': Whipping Up Criticism of the Top Tech Companies; The increasingly sharp rebukes of Facebook, Google and others now have a term of their own', 'wall street journal', '2019-01-10')",S->n-r,S,n-r,User Safety_Censorship & Retribution,,"Facebook, Google",https://www.wsj.com/articles/techlash-whipping-up-criticism-of-the-top-tech-companies-11547146279
8051,‘Used to it’: Aviva CEO responds after sexist comments at AGM,"('‘Used to it’: Aviva CEO responds after sexist comments at AGM', 'the guardian', '2022-05-11')","('‘Used to it’: Aviva CEO responds after sexist comments at AGM', 'the guardian', '2022-05-11')",1-i->n-r,1-i,n-r,User Safety_Broken Harmony,,LinkedIn,https://www.theguardian.com/inequality/2022/may/11/used-to-it-aviva-ceo-responds-after-sexist-comments-at-agm
18540,Video footage of Korean female TV announcer spreads in China',"(''Video footage of Korean female TV announcer spreads in China'', 'the korea times', '2012-07-30')","(''Video footage of Korean female TV announcer spreads in China'', 'the korea times', '2012-07-30')",1-r->n-r,1-r,n-r,User Safety_Dangerous Misinformation & Endangerment,,Weibo,https://www.koreatimes.co.kr/southkorea/20120730/video-footage-of-korean-female-tv-announcer-spreads-in-china
58780,Was advised to switch off my mobile till I got anticipatory bail',"(''Was advised to switch off my mobile till I got anticipatory bail'', 'the times of india', '2023-01-08')","(''Was advised to switch off my mobile till I got anticipatory bail'', 'the times of india', '2023-01-08')",n-r->n-r,n-r,n-r,User Safety_Broken Harmony,Legal Action,Social Media,https://timesofindia.indiatimes.com/city/bengaluru/pee-gate-man-who-urinated-on-co-flyer-held-from-bengaluru-guest-house/articleshow/96821477.cms
40394,‘What do you do when you can’t agree on reality?’ Demise of popular Oak Park Coronavirus Facebook group highlights pandemic’s divisions,"('‘What do you do when you can’t agree on reality?’ Demise of popular Oak Park Coronavirus Facebook group highlights pandemic’s divisions', 'chicago tribune', '2022-02-28')","('‘What do you do when you can’t agree on reality?’ Demise of popular Oak Park Coronavirus Facebook group highlights pandemic’s divisions', 'chicago tribune', '2022-02-28')",n-r->n-r,n-r,n-r,User Safety_Broken Harmony,Public Backlash,Facebook,https://www.chicagotribune.com/2022/02/28/what-do-you-do-when-you-cant-agree-on-reality-demise-of-popular-oak-park-coronavirus-facebook-group-highlights-pandemics-divisions/
32748,"Where are we headed': Jwala Gutta posts about grandmother's death, gets racist replies","(''Where are we headed': Jwala Gutta posts about grandmother's death, gets racist replies', 'the hindustan times', '2021-02-12')","(''Where are we headed': Jwala Gutta posts about grandmother's death, gets racist replies', 'the hindustan times', '2021-02-12')",n-r->1-i,n-r,1-i,User Safety_Harassment&Bullying,,Twitter,https://www.hindustantimes.com/india-news/jwala-gutta-posts-about-grandmom-s-death-gets-racist-replies-101613137291928.html
35428,‘White power’ video was a glimpse into Trump-era political discourse in ‘America’s friendliest’ retirement community,"('‘White power’ video was a glimpse into Trump-era political discourse in ‘America’s friendliest’ retirement community', 'the washington post', '2020-07-04')","('‘White power’ video was a glimpse into Trump-era political discourse in ‘America’s friendliest’ retirement community', 'the washington post', '2020-07-04')",1-r->n-r,1-r,n-r,User Safety_Broken Harmony,Remove Content,Twitter,https://www.washingtonpost.com/politics/white-power-video-was-a-glimpse-into-trump-era-political-discourse-in-americas-friendliest-retirement-community/2020/07/04/0ca405dc-bbc0-11ea-8cf5-9c1b8d7f84c6_story.html
32427,You can't teach dignity': Derek O'Brien tweets after Mamata objected to slogans,"(''You can't teach dignity': Derek O'Brien tweets after Mamata objected to slogans', 'the hindustan times', '2021-01-23')","(''You can't teach dignity': Derek O'Brien tweets after Mamata objected to slogans', 'the hindustan times', '2021-01-23')",1-i->n-r,1-i,n-r,User Safety_Broken Harmony,,Twitter,https://www.hindustantimes.com/india-news/you-can-t-teach-dignity-derek-o-brien-tweets-after-mamata-objected-to-slogans-101611407130175.html
